view_mode	count	zoom_level
traffic_hd	1	6
standard_hd	1	18
traffic_hd	1	6
traffic	1	17
standard_hd	1	18
photo	1	15
standard_hd	1	16
photo	2	6,15
standard_hd	4	17,15
standard	2	19,15
standard_hd	5	11,15,19
standard	2	18,14
photo	1	19
standard_hd	1	17
traffic	1	17
standard_hd	5	17,18,19,15
standard	3	6,14,16
standard_hd	1	15
standard	3	19,14
traffic	1	8
traffic_hd	1	18
standard	3	6,14
traffic_hd	1	18
standard_hd	1	14
standard	2	14
standard_hd	5	17,12
standard	2	19,16
traffic_hd	2	7
standard_hd	3	16
traffic	1	18
standard_hd	1	12
standard	2	17
standard_hd	4	16,12
standard	1	14
traffic_hd	1	18
standard	1	16
traffic_hd	1	8
standard	1	16
standard_hd	1	18
photo	1	18
standard_hd	2	18,14
photo	1	18
standard	2	14
standard_hd	1	19
traffic_hd	1	8
standard_hd	1	18
standard	2	17,14
traffic_hd	1	16
standard_hd	1	15
traffic_hd	1	12
standard_hd	4	18,15,16
photo	1	14
traffic_hd	1	16
standard_hd	2	18,15
photo	2	14
standard_hd	1	14
traffic_hd	1	11
standard_hd	2	17,16
standard	1	14
standard_hd	3	18,19,16
traffic_hd	1	16
standard_hd	1	7
photo	1	19
standard_hd	1	18
photo	1	19
hybrid	1	7
standard_hd	1	14
traffic_hd	2	11
standard_hd	1	14
photo	2	15
standard_hd	1	14
standard	1	14
standard_hd	3	14
photo	1	11
standard_hd	2	15,14
traffic_hd	1	16
standard	1	19
traffic	1	12
standard	1	16
traffic	1	12
traffic_hd	1	13
standard_hd	1	15
traffic	1	12
standard	2	19,9
standard_hd	2	19,15
traffic_hd	1	16
standard	3	18,19,14
standard_hd	1	16
standard	1	16
standard_hd	1	10
traffic	1	12
standard_hd	1	15
traffic_hd	1	16
standard_hd	3	17,15,10
standard	2	19,16
photo	1	18
standard	2	9,13
photo	1	19
hybrid	1	7
standard_hd	3	17,10
standard	1	16
traffic_hd	1	16
standard_hd	1	10
traffic_hd	1	16
standard	1	15
standard_hd	1	10
standard	1	19
traffic_hd	1	11
standard	1	15
traffic_hd	1	16
photo	3	17,11
standard_hd	1	10
standard	1	19
standard_hd	1	12
standard	4	5,19,14
standard_hd	1	17
traffic_hd	1	18
standard_hd	2	17
traffic_hd	1	16
standard	2	11,19
traffic_hd	1	16
photo	1	14
standard	1	11
standard_hd	1	12
traffic_hd	1	16
standard_hd	3	17,19,14
photo	2	12
standard	1	17
photo	1	17
standard	1	14
standard_hd	1	16
traffic_hd	1	16
standard	1	15
photo	2	17
standard_hd	2	18,14
traffic_hd	1	16
photo	2	17
traffic_hd	1	16
standard_hd	1	14
standard	1	19
traffic_hd	1	11
standard_hd	1	15
standard	1	12
standard_hd	1	14
traffic_hd	1	11
standard_hd	2	18
hybrid	1	7
standard_hd	3	14,13
traffic_hd	1	11
standard_hd	1	9
traffic_hd	2	11,12
photo	1	17
standard_hd	2	18,19
standard	3	11,19,12
standard_hd	3	18,19,14
standard	1	15
standard_hd	1	18
traffic_hd	1	18
standard	1	19
photo	1	18
traffic_hd	2	12,13
standard	1	11
traffic_hd	1	12
standard	1	14
traffic_hd	1	13
standard	1	19
photo	2	18,16
standard_hd	1	16
photo	1	17
standard_hd	1	17
traffic_hd	1	12
standard	1	15
standard_hd	1	16
photo	1	17
standard_hd	1	19
photo	1	19
traffic_hd	1	8
standard_hd	3	17,19,16
photo	1	19
traffic_hd	1	12
standard_hd	1	16
standard	1	15
standard_hd	3	17,16
traffic_hd	1	11
standard	2	18,15
standard_hd	3	17,19,16
photo	1	15
traffic_hd	2	8
photo	3	17,15
standard_hd	2	17,14
photo	1	17
traffic_hd	3	8,10
standard_hd	4	15,14
photo	1	15
standard_hd	2	14
standard	2	18,19
traffic_hd	1	19
standard_hd	1	19
standard	5	11,19,15
standard_hd	1	9
standard	3	19,15
traffic_hd	1	13
standard_hd	1	15
traffic_hd	1	13
standard	2	19
traffic_hd	1	13
standard	1	19
traffic_hd	1	13
standard	1	19
traffic_hd	1	12
standard	2	17
traffic_hd	2	12,13
standard	1	15
standard_hd	1	17
standard	3	17,18,15
traffic_hd	1	13
standard	1	17
photo	1	17
standard_hd	1	17
standard	1	15
photo	2	17
standard	3	19,15
traffic	1	9
traffic_hd	1	12
standard_hd	2	17
photo	1	18
standard	1	15
photo	1	18
traffic_hd	1	12
standard	1	15
traffic_hd	1	12
standard	1	15
traffic_hd	3	12,13
standard_hd	7	17,18,19
traffic_hd	1	14
standard_hd	2	17,11
traffic_hd	1	14
standard_hd	1	18
traffic_hd	1	12
traffic	3	19
photo	1	19
traffic_hd	1	12
standard_hd	2	19,13
photo	1	14
standard_hd	1	14
traffic_hd	2	14,12
photo	1	14
traffic_hd	3	15,12
standard	1	15
traffic_hd	1	12
photo	1	12
standard_hd	1	15
standard	2	17,16
traffic_hd	1	12
standard	4	17,18,15,19
standard_hd	1	18
photo	1	18
standard	5	17,19,14
traffic_hd	2	7,18
traffic	1	18
standard	1	11
standard_hd	2	11,18
standard	1	17
standard_hd	5	18,14,16
photo	1	19
standard_hd	3	16,14
standard	5	5,19,16
standard_hd	2	15,16
standard	1	17
standard_hd	3	11,18,16
standard	2	19
traffic_hd	1	18
standard	1	19
traffic_hd	1	15
standard	1	19
traffic_hd	1	8
photo	2	11,19
standard_hd	1	16
photo	1	11
standard	2	19,12
standard_hd	1	18
standard	1	19
traffic_hd	1	15
standard	2	11,15
traffic_hd	1	18
standard_hd	1	18
standard	1	19
standard_hd	1	18
traffic_hd	1	13
standard_hd	1	16
traffic_hd	1	13
standard_hd	2	16,9
standard	1	19
standard_hd	3	17,19
standard	1	12
traffic_hd	1	12
standard	1	16
standard_hd	3	18,15
photo	1	11
standard	1	18
standard_hd	2	18,15
traffic_hd	1	8
standard_hd	6	17,14
photo	1	17
standard_hd	3	19,14
traffic_hd	1	13
standard	1	19
standard_hd	1	18
standard	1	19
traffic_hd	1	8
photo	1	17
traffic_hd	1	13
standard_hd	2	10
traffic_hd	1	18
standard	1	8
standard_hd	3	18,10
standard	1	17
standard_hd	1	10
standard	1	17
traffic_hd	1	13
standard	1	17
photo	1	11
standard	1	17
standard_hd	2	8,14
standard	1	9
standard_hd	2	8,15
traffic_hd	1	13
standard_hd	1	16
standard	2	19,13
standard_hd	1	15
standard	1	19
standard_hd	1	15
photo	1	14
standard_hd	1	15
photo	2	19
standard	1	7
traffic_hd	1	13
standard_hd	1	15
photo	1	19
standard_hd	1	15
standard	1	18
photo	1	11
standard_hd	1	18
traffic	1	18
standard_hd	1	18
traffic	1	9
photo	2	11,19
standard_hd	1	14
standard	1	18
photo	1	19
traffic_hd	1	13
standard_hd	1	15
standard	1	19
standard_hd	1	15
photo	1	16
standard_hd	4	19,15
standard	3	19,16
standard_hd	1	19
photo	1	19
standard_hd	2	19
traffic_hd	1	13
standard	3	18,19
standard_hd	1	16
standard	2	19,13
standard_hd	1	17
public_transport_hd	1	17
photo	1	17
public_transport_hd	1	17
standard_hd	1	11.961927346784938
standard	2	19,13
traffic_hd	1	15
standard_hd	2	18,11.805732443883848
traffic_hd	1	17
standard	2	19,12
photo	1	16
standard_hd	1	18
traffic_hd	1	12
photo	1	16
standard_hd	1	18
standard	1	19
standard_hd	1	18
photo	1	11
traffic_hd	1	12
standard_hd	1	18
traffic_hd	1	12
standard_hd	1	11.395238594346838
traffic_hd	1	13
standard	1	19
standard_hd	1	14
traffic_hd	1	15
standard_hd	4	14,13
standard	3	18,19
traffic_hd	1	12
standard_hd	3	10,13
photo	2	18
standard_hd	1	13
standard	1	19
traffic_hd	1	15
standard_hd	1	18
traffic_hd	1	18
standard_hd	2	13
traffic_hd	1	17
standard_hd	1	18
standard	1	18
standard_hd	2	18
photo	1	19
standard	2	18
traffic_hd	1	18
standard_hd	1	18
standard	1	18
standard_hd	1	18
photo	1	11
standard_hd	1	15
traffic_hd	1	18
standard_hd	1	18
photo	1	17
standard_hd	1	18
photo	1	17
traffic	1	19
standard_hd	1	17
photo	2	18,19
traffic	1	19
traffic_hd	1	18
standard	1	19
traffic	1	19
standard_hd	1	16
photo	2	19
traffic_hd	1	12
standard_hd	1	16
photo	2	17,18
standard_hd	1	17
photo	2	17
standard	1	16
photo	1	17
standard	1	16
standard_hd	1	16
photo	6	17,19,16
standard_hd	2	17,15
photo	2	16
traffic_hd	1	9
photo	1	17
traffic_hd	1	18
photo	4	18,19,16
standard	2	16
photo	2	17,16
traffic_hd	1	11
standard_hd	2	17,15
traffic_hd	1	18
standard_hd	1	12.420129185082974
traffic_hd	1	12
standard	1	16
standard_hd	1	15
traffic	1	14
traffic_hd	1	11
standard_hd	1	15
standard	1	16
traffic_hd	1	18
standard_hd	2	15
traffic_hd	1	12
standard	1	15
standard_hd	1	15
photo	4	17,18,11
traffic_hd	1	12
standard	1	14
standard_hd	2	15,14
standard	1	14
standard_hd	2	11,14
standard	1	15
standard_hd	1	14
standard	1	14
standard_hd	1	14
standard	1	17
standard_hd	4	19,14,10
traffic_hd	1	19
standard	1	17
standard_hd	1	16
standard	1	15
traffic_hd	1	9
standard	2	16
public_transport_hd	1	17
standard_hd	1	19
traffic_hd	1	9
standard	1	16
traffic_hd	2	19,12
standard	2	17,13
photo	1	17
traffic_hd	1	14
photo	1	18
public_transport_hd	1	17
standard	1	16
public_transport_hd	1	17
traffic_hd	1	19
standard	2	17
standard_hd	1	18
standard	1	17
standard_hd	1	12
photo	3	17
standard_hd	2	16
standard	1	19
traffic_hd	1	8
standard	1	16
traffic_hd	4	8,12,19,13
standard_hd	2	18,12
standard	1	14
standard_hd	1	18
standard	1	8
public_transport_hd	1	17
standard	1	15
traffic_hd	2	8
photo	1	17
standard	2	15
traffic_hd	5	8,14,10
standard	1	16
traffic_hd	1	8
standard_hd	2	14,16
traffic_hd	1	10
standard_hd	4	5,19,10
traffic_hd	1	19
standard_hd	2	16,10
traffic_hd	2	11,19
standard_hd	1	16
standard	1	17
photo	1	17
standard	3	17,19
photo	1	18
standard_hd	1	16
photo	1	18
standard_hd	2	14
photo	4	18
traffic_hd	1	9
standard_hd	1	11
photo	1	18
standard_hd	3	11,17
photo	3	17
standard_hd	2	17,12
standard	1	14
standard_hd	1	12
standard	1	19
standard_hd	1	15
photo	1	17
standard_hd	1	17
photo	1	17
standard	1	14
photo	2	17
standard	1	16
photo	2	17
standard_hd	1	17
photo	2	17
standard_hd	1	17
standard	2	18,19
traffic_hd	1	17
standard_hd	2	17,15
photo	1	19
traffic_hd	1	13
standard_hd	2	11,16
traffic_hd	1	17
photo	1	11
standard_hd	1	13
traffic_hd	1	13
standard	1	14
photo	2	11
standard	1	17
traffic_hd	2	17,7
standard	2	19
traffic_hd	1	17
standard	1	19
photo	1	18
traffic_hd	1	13
standard_hd	1	18
traffic_hd	1	13
standard	2	12
photo	1	11
standard_hd	1	8
standard	1	17
standard_hd	2	17
standard	4	17
standard_hd	1	17
photo	1	12
standard_hd	1	12
traffic_hd	1	18
standard_hd	1	16
standard	2	19
photo	2	18
standard	4	18,15,12,19
photo	1	18
standard_hd	1	19
traffic_hd	1	12
standard_hd	2	18
traffic_hd	1	18
standard_hd	1	19
standard	2	15
photo	2	18
traffic_hd	1	17
standard_hd	3	17,19
traffic_hd	1	11
standard_hd	1	14
photo	1	17
standard_hd	1	19
photo	1	17
standard_hd	1	17
photo	1	14
standard	1	15
standard_hd	1	17
standard	2	19,12
standard_hd	1	17
photo	1	17
standard_hd	1	10
photo	1	17
standard_hd	1	10
standard	1	18
standard_hd	1	10
photo	1	18
standard_hd	2	10
standard	1	19
traffic_hd	1	15
standard	1	17
standard_hd	1	16
traffic_hd	1	9
standard	3	17
standard_hd	2	17,19
photo	2	18
standard	1	17
standard_hd	1	16
standard	3	17,19,16
standard_hd	3	17,18,16
traffic_hd	1	15
standard	1	19
standard_hd	2	16
standard	1	19
photo	1	13
standard	1	17
traffic	1	11
standard	1	16
traffic_hd	1	14
traffic	1	11
standard_hd	1	16
traffic	2	11
standard_hd	5	19,13
standard	1	19
standard_hd	2	17
standard	1	15
standard_hd	2	19,12
standard	1	17
traffic_hd	1	9
standard_hd	1	13
standard	1	17
standard_hd	4	13
standard	2	17
traffic_hd	1	8
standard	2	17,19
standard_hd	4	13
standard	1	14
standard_hd	4	17,18,13
standard	2	19
standard_hd	4	17,15,14
standard	2	18
standard_hd	5	17,15,8,13
traffic_hd	1	12
standard_hd	1	17
traffic	1	17
standard	1	19
traffic	1	17
traffic_hd	1	16
traffic	5	17
traffic_hd	1	16
photo	1	16
traffic_hd	1	18
standard_hd	1	17
standard	3	17,19,12
standard_hd	1	18
standard	1	17
photo	1	4
standard_hd	3	17
standard	1	19
photo	1	4
standard_hd	1	5
traffic_hd	1	6
standard_hd	3	17,14
photo	1	11
standard_hd	2	17
standard	1	19
standard_hd	1	17
traffic_hd	1	9
standard_hd	1	17
photo	1	16
traffic_hd	1	15
standard_hd	6	17,19,14
photo	1	16
traffic_hd	1	16
standard_hd	3	17,18,19
traffic_hd	1	8
standard	9	18,15,16,14
traffic_hd	1	11
standard_hd	1	16
traffic_hd	1	11
standard_hd	1	11
traffic_hd	1	14
standard_hd	1	15
traffic_hd	1	15
photo	1	5
traffic	1	12
photo	1	18
traffic	1	12
standard	1	16
photo	1	19
standard_hd	2	16,14
photo	1	18
standard_hd	1	18
photo	1	19
standard	1	18
standard_hd	1	18
traffic_hd	1	15
photo	1	18
standard_hd	3	17,19,14
standard	2	19,12
standard_hd	1	19
standard	2	15,16
standard_hd	6	18,19,16,12
standard	2	15,16
standard_hd	3	19,16
standard	2	16
standard_hd	3	18,19,16
photo	1	18
traffic_hd	1	11
photo	1	18
standard_hd	1	16
standard	1	19
standard_hd	4	16,10
traffic	1	16.974576255320574
photo	1	11
standard	1	13
traffic_hd	1	13
standard_hd	1	14
standard	1	16
traffic_hd	1	9
standard_hd	3	15,16
traffic_hd	1	16
standard	1	17
standard_hd	1	14
standard	1	17
standard_hd	1	15
standard	1	17
standard_hd	8	15,14,16,19
standard	1	18
standard_hd	1	14
standard	1	18
standard_hd	1	15
standard	1	18
standard_hd	1	18
traffic_hd	1	13
standard	2	18,15
standard_hd	1	17
photo	1	16
traffic_hd	1	14
standard	2	19,16
standard_hd	2	18,15
photo	2	16
traffic_hd	2	11,13
standard_hd	1	13
standard	1	17
photo	1	17
standard_hd	1	19
standard	1	19
photo	2	17
standard	1	15
standard_hd	5	17,18,19,13
standard	1	17
traffic_hd	1	11
standard_hd	1	15
standard	1	19
standard_hd	1	13
standard	1	18
standard_hd	1	17
standard	2	19
standard_hd	1	15
standard	1	18
standard_hd	1	19
standard	2	18
traffic_hd	1	11
standard_hd	1	12
traffic_hd	1	14
standard	1	18
standard_hd	3	15,16,13
standard	1	15
standard_hd	1	13
standard	1	18
standard_hd	8	17,15,19,13
traffic_hd	1	14
standard	1	19
standard_hd	2	17,19
traffic_hd	1	11
standard_hd	4	17,19
photo	1	18
standard_hd	1	19
traffic_hd	1	19
standard_hd	5	5,19,15,13
traffic_hd	1	12
standard	1	14
standard_hd	4	18,15,19
traffic_hd	1	11
standard_hd	3	18,10
standard	1	18
standard_hd	1	10
traffic_hd	2	19,9
standard_hd	1	19
standard	3	15,14
standard_hd	1	19
standard	1	19
photo	1	18
standard	2	14
traffic	2	15
standard_hd	2	19,15
standard	2	18
standard_hd	1	17
photo	1	15
standard_hd	4	17,15,19
photo	1	18
standard_hd	1	17
traffic_hd	2	12
standard_hd	1	17
traffic_hd	1	11
photo	1	16
standard	1	16
standard_hd	1	19
photo	1	19
standard_hd	12	17,19,12
standard	1	8
photo	2	18
traffic_hd	1	12
standard	1	15
traffic_hd	1	12
standard	1	14
traffic_hd	1	14
standard	2	18,16
traffic_hd	1	12
standard_hd	1	12
traffic_hd	1	12
standard	2	18,14
traffic_hd	1	13
standard	2	19,9
photo	1	14
traffic_hd	1	10
standard_hd	2	18,13
traffic_hd	1	9
photo	1	18
traffic_hd	2	13
standard	3	18,16,14
standard_hd	1	18
photo	1	19
traffic	1	12
standard_hd	1	17
traffic_hd	1	14
standard_hd	2	18,16
traffic_hd	1	9
standard_hd	1	16
standard	1	11
standard_hd	1	16
standard	1	11
standard_hd	2	19,16
traffic_hd	1	13
standard	1	16
traffic	1	12
traffic_hd	1	13
standard_hd	2	16,14
traffic	1	12
standard_hd	3	14
traffic	1	12
standard	1	18
standard_hd	6	18,16,14
traffic_hd	1	13
photo	2	16
traffic_hd	1	13
photo	3	16
standard	1	17
standard_hd	1	18
traffic	1	12
standard_hd	2	18,14
standard	1	19
standard_hd	1	17
standard	1	18
standard_hd	1	17
standard	1	19
standard_hd	2	14
standard	1	19
photo	1	12
standard_hd	1	18
standard	1	19
standard_hd	1	18
standard	1	16
standard_hd	3	17,12
standard	1	17
standard_hd	1	17
photo	1	12
standard_hd	2	17
photo	2	12
standard	1	17
standard_hd	2	14
photo	1	18
standard_hd	1	14
photo	1	18
traffic_hd	1	8
standard	1	17
standard_hd	1	17
standard	1	12
photo	1	17
standard_hd	1	14
photo	3	18
traffic_hd	1	8
standard_hd	1	17
standard	1	15
photo	1	18
standard	1	16
standard_hd	2	17,14
standard	1	15
standard_hd	1	12
standard	1	19
photo	1	18
standard_hd	1	12
traffic_hd	1	13
standard_hd	2	14,12
traffic_hd	1	13
standard_hd	1	18
traffic_hd	1	13
standard_hd	4	18,12,9
traffic_hd	1	12
standard	1	7
photo	3	13
traffic	1	11
standard	3	18,14,16
traffic	1	11
photo	1	18
traffic_hd	1	12
standard_hd	1	12
standard	6	17,7,18,11,9
photo	2	16
standard_hd	2	16,12
standard	1	17
traffic_hd	1	12
standard	1	16
traffic_hd	1	13
standard	1	19
traffic	1	5
standard	2	18,16
photo	1	13
standard	3	6,18,19
traffic_hd	1	12
standard	1	17
standard_hd	1	17
standard	1	18
traffic_hd	1	12
standard	1	9
photo	1	16
traffic	1	13
standard_hd	1	12
standard	1	19
traffic_hd	1	12
standard	2	18,16
traffic	1	13
standard	1	16
traffic	2	11,13
standard_hd	5	19,12,10
traffic_hd	1	12
standard	1	19
standard_hd	1	13
standard	2	18
standard_hd	1	16
standard	1	17
photo	1	19
standard	1	18
standard_hd	3	16,12
standard	1	18
standard_hd	2	16,14
standard	2	17,14
standard_hd	6	18,19,16,14
standard	1	19
standard_hd	1	16
standard	1	16
traffic	1	11
standard	2	16
standard_hd	1	7
photo	1	14
standard	3	16,14
standard_hd	4	19,16,8
traffic_hd	1	12
standard_hd	1	19
photo	1	19
standard_hd	1	18
photo	1	19
traffic_hd	1	12
standard	1	19
standard_hd	4	5,15,16
standard	1	17
traffic_hd	1	12
standard_hd	1	13
photo	1	18
standard	1	19
photo	1	13
standard_hd	1	16
standard	1	16
photo	1	11
standard_hd	1	13
photo	3	13
traffic_hd	1	12
photo	1	16
standard	1	12
photo	4	16
standard_hd	2	11,13
standard	1	19
standard_hd	2	17
traffic_hd	2	13
photo	1	18
standard	1	19
photo	2	18
standard_hd	1	17
standard	2	19
standard_hd	1	13
photo	1	18
standard_hd	1	13
traffic_hd	4	8,12,13
standard_hd	1	11
standard	2	18,14
standard_hd	3	17,19
standard	1	11
photo	1	19
standard	1	8
standard_hd	3	11
traffic_hd	1	14
standard_hd	2	17,11
standard	1	11
traffic_hd	1	14
standard_hd	1	11
standard	2	11,14
standard_hd	3	17,18,13
traffic_hd	1	12
standard_hd	3	11,19,13
traffic_hd	1	14
photo	1	13
traffic_hd	2	14
standard	2	18
standard_hd	1	17
standard	3	18
standard_hd	1	9
standard	1	18
standard_hd	1	9
standard	1	18
traffic_hd	1	9
standard_hd	1	17
standard	5	6,15,11,14
standard_hd	1	17
standard	1	18
standard_hd	1	16
standard	1	14
traffic_hd	1	13
standard_hd	1	19
standard	3	16,14
standard_hd	1	13.27149872558169
traffic_hd	2	15
photo	2	16
traffic_hd	2	15
photo	3	15,16
standard	1	18
traffic_hd	1	12
standard	1	15
traffic_hd	3	8,13
standard	5	18,14
traffic_hd	2	15
standard	1	16
standard_hd	2	19
standard	4	18,8,16,15
traffic_hd	1	18
standard_hd	1	17
standard	1	19
traffic_hd	1	15
standard	2	18,19
traffic	1	17
standard	1	11
traffic	1	11
standard	4	17,19,16,15
photo	2	15
standard	4	18,19,16,15
standard_hd	1	11
photo	1	13
standard	4	5,15,19
standard_hd	1	5
photo	1	19
standard	3	17
standard_hd	9	13,18,15,16,11
traffic_hd	1	14
standard_hd	1	10
standard	2	11,19
standard_hd	1	19
photo	1	16
traffic_hd	1	14
standard_hd	3	19,12
photo	1	16
traffic	1	18
standard_hd	1	12
traffic	2	18
standard	2	11
standard_hd	1	17
standard	1	17
traffic	1	18
standard_hd	1	18
standard	1	19
traffic	1	18
standard_hd	2	17
traffic	1	18
standard	1	16
standard_hd	1	18
standard	2	16
traffic	1	18
standard	1	10
standard_hd	1	19
standard	4	17,19,14
standard_hd	3	15
standard	2	17,19
standard_hd	1	15
standard	1	17
standard_hd	1	15
photo	2	12
standard_hd	1	16
photo	1	19
standard	1	19
photo	2	19
standard_hd	1	16
standard	1	11
standard_hd	3	11,19,16
standard	1	19
standard_hd	1	16
traffic_hd	1	12
standard_hd	1	17
standard	1	14
standard_hd	1	17
standard	4	18,14
photo	2	18
standard	4	18,15,10
photo	1	18
standard_hd	1	5
standard	1	18
standard_hd	2	17,16
standard	1	14
standard_hd	7	17,16,12
photo	1	12
public_transport_hd	2	18
standard_hd	3	17,12
standard	1	18
standard_hd	3	18,12
standard	2	18,19
traffic_hd	1	10
standard_hd	2	19,12
standard	4	18,19,14,15
traffic_hd	1	10
standard_hd	1	17
standard	1	19
public_transport_hd	1	18
standard_hd	2	18
standard	1	19
photo	1	14
standard	1	15
traffic_hd	1	11
standard	4	18,19,16,15
photo	1	17
standard	1	15
standard_hd	1	19
standard	2	15,14
photo	1	16
traffic_hd	2	13
photo	1	16
traffic_hd	1	13
photo	1	16
standard	1	17
public_transport_hd	1	18
standard	1	16
standard_hd	1	18
standard	1	18
photo	1	16
traffic_hd	1	11
standard	2	18,19
traffic_hd	1	18
standard_hd	1	17
standard	2	18,19
standard_hd	1	11
standard	1	18
standard_hd	3	11,18,19
traffic_hd	1	18
standard_hd	2	17,18
traffic_hd	1	15
standard	2	11,19
traffic_hd	2	18,13
standard	4	18,14
traffic_hd	1	13
standard_hd	1	15
traffic_hd	1	18
standard	1	18
traffic_hd	1	14
standard	1	14
standard_hd	1	15
traffic_hd	4	15,16,9
photo	4	12
standard	1	10
standard_hd	1	13
traffic_hd	1	11
public_transport_hd	1	18
traffic_hd	9	11,15,16,9
standard_hd	1	15
photo	1	18
standard_hd	1	19
traffic_hd	1	11
standard_hd	1	15
photo	1	18
standard_hd	1	15
standard	1	14
photo	1	18
standard_hd	1	18
traffic_hd	1	11
standard	2	6,19
standard_hd	1	15
traffic_hd	2	16,13
standard	1	19
standard_hd	1	18
traffic_hd	1	13
photo	1	18
standard_hd	1	19
traffic_hd	1	9
photo	3	18,13
traffic_hd	2	12,9
standard_hd	1	14
public_transport_hd	1	18
standard	3	19
traffic_hd	1	9
standard_hd	2	17,14
standard	2	15,19
standard_hd	1	14
photo	1	16
standard	1	19
photo	1	16
standard	2	19
photo	1	18
standard	6	17,14,15,16,19
public_transport_hd	1	18
standard	2	14,16
public_transport_hd	1	18
photo	1	18
standard_hd	2	12
photo	5	18
traffic	1	8
standard	2	19,14
traffic_hd	2	13
standard	1	14
standard_hd	1	16
traffic_hd	1	13
standard	2	19,14
standard_hd	2	16
standard	1	9
standard_hd	1	16
standard	1	19
standard_hd	1	19
photo	2	17
standard	1	19
standard_hd	1	14
standard	1	19
standard_hd	3	18,19
standard	1	11
standard_hd	3	17,15
traffic_hd	1	13
standard	1	19
standard_hd	1	15
standard	3	15,19
standard_hd	1	19
standard	1	15
standard_hd	3	15,19
photo	2	15,16
standard	1	15
standard_hd	1	15
photo	1	16
standard_hd	1	16
photo	2	16
standard_hd	3	16,12
traffic_hd	1	15
standard	1	14
standard_hd	1	19
standard	1	15
photo	1	19
standard	1	19
traffic_hd	1	10
photo	1	16
standard	3	16,14
photo	1	13
standard	1	19
standard_hd	1	12
traffic_hd	1	8
standard_hd	1	12
traffic_hd	3	15,13
photo	1	19
standard	1	19
traffic	1	8
photo	2	19
traffic_hd	1	13
photo	1	19
standard	3	19,15
standard_hd	1	16
standard	5	19,15
traffic_hd	2	13
standard	1	19
traffic_hd	1	13
standard	2	17,12
standard_hd	1	18
traffic_hd	1	8
standard	3	17,19
traffic_hd	1	13
standard_hd	2	17,18
standard	1	12
photo	2	19
standard	1	15
standard_hd	1	17
traffic_hd	1	13
photo	1	15
standard_hd	1	16
traffic_hd	1	15
standard_hd	1	18
standard	4	19,12
traffic_hd	1	13
standard_hd	1	18
photo	1	18
standard	1	19
photo	2	15,13
traffic_hd	1	8
standard_hd	4	17,16,14
standard	1	19
standard_hd	1	12
standard	1	15
standard_hd	2	17,14
hybrid	1	15
standard	1	18
standard_hd	3	17
photo	1	19
standard_hd	1	11
standard	2	18,19
standard_hd	1	11
standard	1	12
standard_hd	1	11
standard	2	17,15
standard_hd	2	17,18
photo	1	18
standard	2	19
photo	1	16
standard_hd	1	17
photo	3	18,16
standard	1	19
photo	4	15,16
standard_hd	1	19
photo	1	18
standard	1	5
traffic_hd	1	13
standard	1	17
standard_hd	3	15,19
hybrid	1	15
standard	3	6,19
standard_hd	1	14
standard	1	11
standard_hd	1	19
photo	1	11
standard	5	19,15
standard_hd	1	11
standard	1	15
traffic_hd	2	18,13
standard	2	19,14
traffic	1	18
traffic_hd	1	11
photo	2	19
standard	1	5
traffic	1	14
standard_hd	1	18
traffic	2	18,14
standard	1	15
traffic_hd	2	14
traffic	1	12
standard	1	13
traffic	1	12
standard	1	19
photo	1	19
traffic	1	12
photo	1	19
standard	1	19
traffic	1	12
standard	1	17
traffic_hd	1	13
traffic	1	18
standard	4	18,15,3
standard_hd	2	17,18
traffic	4	13
standard_hd	2	18,16
traffic_hd	1	14
standard_hd	4	18,12
standard	1	12
photo	2	18,16
standard	1	12
standard_hd	2	18
standard	1	19
traffic_hd	1	13
standard_hd	1	18
photo	1	17
traffic_hd	1	12
photo	1	17
standard_hd	1	18
standard	1	16
photo	1	17
standard_hd	1	18
photo	1	19
traffic	1	16
standard	1	11
standard_hd	1	18.439120862383977
standard	1	17
standard_hd	1	16
traffic_hd	1	17
standard_hd	1	16
traffic_hd	1	11
photo	1	18
standard_hd	1	17
photo	4	18,16
traffic_hd	2	15,14
photo	1	19
standard_hd	1	11
photo	1	19
traffic_hd	2	11,15
standard_hd	1	16
standard	2	15,19
standard_hd	1	11
standard	1	19
standard_hd	1	16
standard	2	5,9
hybrid	1	15
standard	1	18
standard_hd	2	15,12
standard	3	19,14
hybrid	1	15
standard	1	14
photo	1	18
standard_hd	1	15
photo	1	19
standard	1	17
photo	1	19
standard	1	19
standard_hd	1	16
traffic_hd	1	12
standard	8	17,15
standard_hd	1	18
hybrid	1	15
standard	3	17,15
photo	1	18
standard	1	14
photo	1	18
standard_hd	1	18
standard	1	19
standard_hd	5	17,18,19
standard	1	19
standard_hd	1	19
traffic_hd	1	8
standard_hd	2	19
photo	4	18,16
standard_hd	2	19,13
photo	1	16
standard_hd	1	19
standard	1	19
photo	2	18,16
standard_hd	1	12
standard	1	19
standard_hd	4	17,19
photo	2	19,16
standard_hd	7	17,19,12
standard	1	15
standard_hd	1	12
standard	1	19
standard_hd	1	12
photo	1	16
standard_hd	1	12
photo	2	16
standard_hd	1	12
photo	1	19
standard_hd	1	12
standard	1	19
traffic_hd	1	15
standard_hd	1	12
traffic_hd	3	16
standard	1	14
traffic_hd	1	16
standard_hd	3	18,8
traffic_hd	1	8
photo	2	17
traffic	2	19
photo	1	17
traffic_hd	1	6
photo	1	17
standard	1	17
