view_mode	count	zoom_level
traffic_hd	1	10
standard_hd	1	15
traffic_hd	1	10
standard	2	17,14
standard_hd	1	15
photo	2	18
traffic_hd	1	14
standard_hd	1	19
standard	2	19
standard_hd	1	15
photo	1	14
standard	2	15
standard_hd	2	15,10
standard	1	19
standard_hd	1	15
standard	2	19
traffic_hd	1	18
standard_hd	3	17,15,9
standard	1	14
traffic_hd	1	14
standard_hd	4	15,19
traffic_hd	1	10
traffic	1	8
standard_hd	1	17
traffic_hd	1	8
standard_hd	1	19
hybrid	1	15
standard_hd	1	19
traffic_hd	1	14
standard	1	14
traffic_hd	1	10
standard	2	16,14
standard_hd	4	19,14,15
standard	1	14
photo	1	19
standard_hd	1	14
photo	1	17
standard	1	14
standard_hd	2	19,14
standard	1	19
standard_hd	1	19
standard	1	12
photo	2	17,15
standard	1	19
photo	1	17
standard_hd	1	19
standard	2	14
standard_hd	1	19
standard	1	14
hybrid	1	15
standard	2	14
standard_hd	1	19
standard	1	19
photo	2	17
standard_hd	1	18
hybrid	1	15
photo	1	18
standard	1	18
standard_hd	1	12.882096005232
traffic	1	17
standard_hd	1	14
hybrid	1	15
photo	1	13
traffic_hd	1	12
photo	1	13
standard	1	18
standard_hd	1	19
photo	1	12
traffic_hd	1	12
standard_hd	1	16
photo	2	12
standard_hd	2	19,16
photo	1	12
standard_hd	1	18
photo	3	17,12
traffic_hd	1	12
photo	2	17
standard	1	19
photo	3	17
hybrid	1	15
photo	4	17
standard	1	17
traffic	1	16
standard	2	17,7
traffic	1	16
traffic_hd	1	15
standard	2	11,10
standard_hd	2	16
standard	1	19
photo	1	17
standard	2	16
photo	1	17
standard_hd	1	19
standard	1	14
standard_hd	1	19
photo	1	17
standard	1	19
standard_hd	1	19
standard	1	16
standard_hd	1	18
photo	1	17
standard_hd	1	18
photo	4	17
standard_hd	1	18
standard	1	18
standard_hd	3	18
standard	1	14
photo	3	17
standard	3	18,19,16
standard_hd	3	15
standard	1	19
public_transport_hd	2	16
standard	1	15
standard_hd	1	15
standard	2	19
standard_hd	1	15
standard	1	15
traffic_hd	1	15
standard	3	15,14,19
standard_hd	1	15
photo	1	18
standard_hd	2	18,19
traffic_hd	1	15
photo	1	18
standard	1	15
standard_hd	1	18
standard	1	19
standard_hd	3	17,15,19
standard	1	19
standard_hd	1	18
traffic	3	9
standard_hd	5	19,16,15,14
standard	2	18,15
photo	1	18
standard_hd	1	15
photo	3	18
standard_hd	3	15,16
standard	1	19
photo	1	18
standard_hd	2	15
photo	1	18
standard_hd	4	15
photo	1	18
standard_hd	1	15
standard	1	15
standard_hd	1	18
standard	1	17
standard_hd	2	18,16
photo	4	19,16
traffic_hd	1	12
photo	1	16
standard	1	19
photo	2	16
standard	2	19,13
traffic_hd	1	11
standard	1	18
photo	2	17,16
standard_hd	1	6
photo	1	17
standard_hd	1	14
photo	1	16
standard	1	18
photo	2	17
standard	1	18
standard_hd	1	14
photo	2	16
standard_hd	2	16,13
photo	1	16
standard_hd	2	5,14
standard	1	18
photo	2	16
standard_hd	2	11,17
photo	1	16
traffic_hd	1	15
standard	1	15
photo	1	11
traffic_hd	1	11
photo	2	16
traffic_hd	1	11
photo	1	11
standard_hd	4	17,14
photo	3	19
standard	1	18
traffic	1	15
standard	2	17
standard_hd	1	13
standard	2	17,14
standard_hd	1	13
standard	2	17,12
photo	1	14
standard_hd	2	13
traffic_hd	1	11
standard_hd	1	17
standard	1	18
standard_hd	5	17,14,13
photo	1	19
standard_hd	1	16
photo	1	11
standard	3	19
standard_hd	1	16
standard	1	14
photo	1	19
standard	1	19
traffic_hd	1	11
standard	2	19
photo	2	19,12
traffic_hd	1	14
standard	2	19,15
photo	1	19
traffic	1	18
photo	2	11,16
standard	1	16
traffic_hd	1	14
standard_hd	1	14
standard	4	19,16,14
photo	1	19
standard	3	19,16
standard_hd	1	13
photo	1	19
standard	1	17
traffic_hd	1	14
standard	1	19
photo	2	19
standard_hd	1	15
standard	2	19,14
traffic_hd	1	11
standard	2	19,16
traffic_hd	1	11
standard	1	11
public_transport_hd	1	17
standard	1	19
traffic_hd	4	11,9,10
public_transport_hd	1	17
standard	1	19
photo	2	19
standard	2	18,15
public_transport_hd	1	15
photo	1	19
traffic_hd	1	9
standard	2	19,14
photo	1	17
traffic_hd	1	11
standard	1	12
photo	1	18
traffic_hd	1	11
photo	1	17
standard	1	18
photo	1	17
traffic_hd	2	11,9
photo	6	17,18,12
standard_hd	1	14
photo	4	17
traffic_hd	1	9
standard	1	14
photo	2	17,12
standard	1	19
traffic_hd	1	9
public_transport_hd	1	17
standard	1	15
standard_hd	1	17
photo	1	11
standard	1	19
photo	3	15
standard_hd	1	16
public_transport_hd	1	17
photo	1	15
standard	1	15
photo	1	14
public_transport_hd	1	17
photo	3	14
standard	2	8,19
photo	2	19,14
traffic_hd	2	18,15
photo	1	19
public_transport_hd	1	17
standard	1	15
standard_hd	3	16
standard	2	19
photo	1	18
traffic_hd	1	18
standard_hd	1	18
traffic_hd	1	18
photo	1	14
standard_hd	2	14,16
photo	2	14
standard_hd	1	16
photo	1	14
standard_hd	2	18
photo	3	14
traffic_hd	1	10
standard	1	16
public_transport_hd	1	17
photo	1	14
standard_hd	3	6,14,16
photo	1	14
standard_hd	1	19
traffic_hd	1	18
photo	2	14
public_transport_hd	1	17
photo	5	18,14
standard_hd	1	16
photo	1	14
standard	2	19,14
photo	1	19
traffic_hd	1	16
standard	1	19
photo	1	12
traffic	1	15
photo	1	19
traffic_hd	2	16
standard	1	19
standard_hd	2	16
photo	1	19
standard	2	19,16
standard_hd	1	17
public_transport_hd	1	17
standard	1	11
standard_hd	1	19
public_transport_hd	1	17
photo	2	18,19
standard_hd	1	19
standard	1	19
photo	2	18
standard_hd	2	19,16
photo	3	16
standard_hd	1	16
photo	1	16
traffic_hd	1	16
photo	1	17
standard_hd	4	19,14,15
standard	1	17
standard_hd	1	19
standard	1	14
photo	1	19
standard_hd	5	18,16,12
standard	1	17
standard_hd	1	19
standard	4	17,19
standard_hd	2	17,18
photo	2	18
standard_hd	4	17
photo	1	18
traffic_hd	2	17
standard_hd	2	17
standard	3	19,16,15
photo	2	11,18
standard	1	19
photo	1	18
standard	2	19,14
photo	2	18
